,Comment,toxic,severe_toxic,obscene,threat,insult,identity_hate,total_classes
714,Tenu yada pta va punjab bare,0,0,0,0,0,0,0
715,Mar gaunga,0,0,0,0,0,0,0
716,Madam blue film banane ka technique hai government ka,0,1,0,0,1,0,2
717,aap 1 Moka to do hame,1,0,0,0,0,0,1
718,Tume da do ,0,0,1,0,0,0,1
719,Tum bas aisi bate kar kar k agay badte jao India bohat agay jaye ga nang pone me,0,1,0,1,1,0,3
720,"tum kitni reserch karti ho , is topic pe , hahahahaha",0,0,0,0,0,0,0
721,Mai jaunga to mam ko hi bulwaunga,0,0,1,0,0,0,1
722,Bc yahi dekhna baki reh gya tha fiteh muh sarkar de,0,1,0,0,1,0,2
723,Madam lagta hai upne marwanwki Puri phd digress leke rakhi ho,1,0,0,0,0,0,1
724,Ye kaha mily gi,0,0,0,1,0,0,1
725,Wah wah kya bat hai,1,0,0,0,0,0,1
726,mem up ho tho sex hi agey karengey galat mat samajna mein single hu na,1,0,0,0,0,0,1
727,tum bolo woh krenge tumhare sath ,0,0,0,1,0,0,1
728,Samay agya sabse bada apraadh krne ka,0,0,0,0,0,0,0
729,lagta h jel Jana padega re baba,0,0,0,0,0,0,0
730,tumne kaha par sex kiya,0,0,0,0,1,0,1
731,Me tumhare saath karna chahata hu,0,0,1,0,0,0,1
732,Tara number da ba one night ka leya,0,0,0,0,1,0,1
733,Jail mein khada nhii hota..hai,1,0,0,0,0,0,1
734,Tumse sex karenge sabse pehle apni life mey🤩,0,0,1,0,0,0,1
735,Apki koi link Ho toh bhejo Mujhe ,0,0,0,0,1,0,1
736,Nyi nyi didi hm to jare hain,0,0,0,0,0,0,0
737,Are aapo bhaoth padi hai sex <br>Ki  kabhi Kiya hai ky ,1,0,0,0,0,0,1
738,Ho bolane Vali jij nahi karne wala <br>Jija hai ,0,0,0,1,0,0,1
739,Pata h bhen ki landi,0,1,0,0,0,0,1
740,Tu degi to karlenge,1,0,0,0,1,0,2
741,Aap chaloge kya mere saath jail,0,0,0,0,0,0,0
742,Are madarjaat Ab To Ham Logon Ko jail bhejo na chahti sex ke liye,0,1,0,0,0,0,1
743,Tum kya karoge pehle ,0,0,0,0,0,0,0
744,Jail jake karna chahtahu agar tum meri partner ho to,0,0,1,0,0,0,1
745,Tum ketne bar mrya hai,1,0,0,0,0,0,1
746,me toh jail me hi hu mam thihad me,0,0,0,0,1,0,1
747,Sadi karlo hum se,0,0,0,0,0,0,0
748,Abb oyo ka koi zrrt nhi h mujhe kal hi kaand krke jail jaunga ,1,0,0,1,0,0,2
749,Jail me agar tum aao to sath meal kar jaige,1,0,1,0,0,0,2
750,Kaash mai Punjab me hota,0,0,0,0,0,0,0
751,Me jail me hi hul,1,0,0,0,0,0,1
752,Me to my friends: chal chal chal gaari nikal benchod Punjab jaana hai crime karne,1,1,0,0,0,0,2
753,Me to aapke sath karuga,0,0,0,0,0,0,0
754,Life me sabse pahle success हासिल करूंगा ,0,0,0,0,0,0,0
755,Tumhari sath,0,0,1,0,0,0,1
756,Sex,1,0,0,0,0,0,1
757,And jail me s*x karne ke liye bandi bhi honi cahiye,1,0,0,0,0,0,1
758,Bandi to mil nahi rhi hai,0,0,0,0,0,0,0
759,Mai  to jail se hi tumhari video dekh rha hu 302 dhara lagi hiii,1,0,0,0,0,0,1
760,Mai jvu ga Punjab jail mai,0,0,0,0,0,0,0
761,Ek baar to mai socha sarkar uplabh karwayegi mai to nikalne wala tha,1,0,0,0,1,0,2
762,didi our kuch you tube me dal neko nahi mila,0,0,0,0,0,0,0
763,AP ka maan nahi karta ha kiya,0,0,1,0,0,0,1
764,Are Bhai Sobko pata ha,0,0,0,0,0,0,0
765,Apko Jana hai Kya mere sathaa,0,0,0,0,1,0,1
766,Tu ajja mere sath,0,0,1,0,0,0,1
767,Aisa na hi ho to behtar h....qki hamari police prashashan gundon se jyada bekaar h...ho sakta h pehle wo log suhagraat bana le prisioners ki biwi ke sath fir unko bheje unke pass. Or baad me muh band krne ke liye paise de de..<br>Mujhe pata h ye baat sunne me ajib h per sach h...aisa kissa sunne ko bohot milega agr ye lagu hota h.,0,1,0,0,0,0,1
768,Chalo jail,0,0,0,0,0,0,0
769,Kyu karawaogi kya tum bol jel me ya bathroom ulti,0,0,0,1,0,0,1
770,jail main chudai hoga,0,1,0,0,0,0,1
771,Ma tu ap ke saat karu ga,1,0,0,0,0,0,1
772,Tumko sex karne doge,0,0,1,0,0,0,1
773,Mc BC,0,1,0,0,0,0,1
774,Toh is ko jail ku bolre ho isko heaven bol lo ,0,0,0,0,0,0,0
775,Bhan ki lvdi ye sub kam batane kay liye ldko ko hai n tumhara,0,1,0,0,0,0,1
776,Aur tu kahi chud mat Jana kider ,1,0,0,0,0,0,1
777,Shadi ke baad Ghar hi jail hojata hai ,0,0,0,0,0,0,0
778,Tmhry sth kru ge,0,0,1,0,0,0,1
779,ap ghr hi ajao jail janay gi kya zarorat,0,0,0,0,0,0,0
780,Mai to tujhe hi bulaunga jail me,0,0,0,0,1,0,1
781,Gangster paida krna h apun ko,0,0,0,0,0,0,0
782,bad main gaye jail bal,0,0,0,0,0,0,0
783,Mujhe to aapko lagana hai,0,0,1,0,0,0,1
784,Ooo main kya bol raha tha..!🤭...Agar koi Rape case Mein jail Chala Jata Hai To use vahan Sex karna milega ya nahin..🤣,1,1,0,0,0,0,2
785,16 saal ka tha tab kiya tha first time ,0,0,1,0,0,0,1
786,Bhai ye ladki shakal se chomu hai par gyaan bahot hai isko 🤣🤣🤣,0,0,0,0,1,0,1
787,ager jail mein tum milo toh kya batt h,0,0,1,0,0,0,1
788,Agar jail mae mil raha hae singlo ko tapa tap to batao ...abhi math teacher ka gand far kae jail chala jau,1,0,0,1,0,0,2
789,Tum aaoge tu kaha bhi jayegi,0,0,0,0,0,0,0
790,Tum to jayada hi uchhal rahi ho tum karogi ka jail me ,0,0,1,0,0,0,1
791,Didi ap ne kabhi sex kiya he kay,0,0,1,0,0,0,1
792,Siddhu: thoko ,0,0,0,0,0,0,0
793,single bnde ke liye yeh scheme he??,0,0,0,0,0,0,0
794,Taile sath Karna hai aayaga🥱,0,0,0,0,1,0,1
795,Ek aur topic mil gya <br>Porn in the jail<br>,0,1,0,0,0,0,1
796,Sex karunga pahle,1,0,0,0,0,0,1
797,oe didi ap ko sex garna maja aata he ka ,1,0,0,0,0,0,1
798,Ha malum h ...chal apne baap ko mat sikha,0,0,0,0,1,0,1
799,Aap ke sath in jail ma it’s my dream,0,0,1,0,0,0,1
800,Aap or Mai jate hai  Jail,0,0,1,0,0,0,1
801,Aap kitni sundar ho so beautiful pretty girl  is galat mat samajhna dil se bol ok,0,0,0,0,0,0,0
802,Moj krdi mdm,0,0,0,0,0,0,0
803,Are Wah didi naya topic da diya ab to bahut mazza aya ga 🥵,0,0,0,0,0,0,0
804,Pahla tumhara sat karun gay phir lock up jao gay srf tum apne pussy or acc do,0,1,0,0,0,0,1
805,Sharm kr le bavli chodi you are girl sharm ni hai ma  baap ne yhi sikhaya hai,0,1,0,0,1,0,2
806,Tere sath Karna he,0,0,0,0,0,0,0
807,Ap ko bhot Pata ha sex ka Bara ma,1,0,0,0,0,0,1
808,Jail jaunga shadi nhi hone wali hai app arjent kar dena jail me,0,0,0,0,0,0,0
809,"To saja kos baat ki.... Murderers, rapists bhi honge waha... Itni facility milegi to kos baat ki saja.",0,1,0,0,0,0,1
810,Abay chup kar,0,0,0,0,1,0,1
811,Hatt yaar,0,0,0,0,1,0,1
812,Ese search kiya nhi but ab krna pdega,0,0,0,0,0,0,0
813,Nahi ham nahi karte search chutiyapha band karo madam,0,1,0,0,0,0,1
814,wah modi ji wah,0,0,0,0,0,0,0
815,3 bar aa gya hu jail se me thik kuch fhark nhi parta thik,1,0,0,0,0,0,1
816,Madam Ashi konshi vebsite ha jispe porn ke message nhi atha,1,0,0,0,0,0,1
817,Me sab se pehle teri jesi girls ko ji bhar ke marunga ,0,0,0,1,0,1,2
818,Tumhare sath jo jain bhi Jana chalega ,0,0,1,0,0,0,1
819,Mai to dono bhi kar chuka hu jail bhi s*x bhi,0,0,1,0,0,0,1
820,Chodrahi,1,0,0,0,0,0,1
821,Bb khatrne me aa jayegi...sex kro or game over kro (dead),1,0,0,0,0,0,1
822,Issi ko rkhlo jail me sbko de b degi or sikha b degii,0,0,0,0,1,0,1
823,Sis apka khowlage Kamal ka  hai ,0,0,0,0,0,0,0
824,Abe miss hum porn nhi dekhte body bnate.. .. Hai. <br>       🥂,1,0,0,0,1,0,2
825,Dusra koie content nahi milla kya bf se break up kar ke sex ka gyan batrahi ho ,1,0,0,0,1,0,2
826,Apka kya khayal he,0,0,0,0,0,0,0
827,Jaill haunga ,0,0,0,0,0,0,0
828,Didi aap bhot acchi lagti ho ,0,0,0,0,0,0,0
829,Hamara desh badal raha he,0,0,0,0,0,0,0
830,Dedi tu bhi dekh ta ho nah pon video🤣,1,0,0,0,0,0,1
831,I have a question<br>   Kya tum porn dekhti ho??,0,0,1,0,0,0,1
832,Phele sex ,1,0,0,0,0,0,1
833,Sex with sister<br>Bahan sex ka ra ga,1,1,0,0,0,0,2
834,Mujha jail bejh do bhai kiska murder Karu yaha par 🤣🤣🤣,1,0,0,1,0,0,2
835,Bhai abhi to Jana hi hoga jail,1,0,0,0,0,0,1
836,are did I,0,0,0,0,0,0,0
837,Tumkoo chodege,0,1,0,1,0,0,2
838,Didi ham ka to pata nahi but kya aap yeh sab search karte hoo ? Agar nahi karte fir yeh sab pata kaise chala ,0,0,0,0,0,0,0
839,sex in jail ye kon chutiya search krta h ,0,1,0,0,0,0,1
840,Sax kroo ga,1,0,0,0,0,0,1
841,Kisi Ka to pata nahin per Tu jahannam Mein Jayegi,0,0,0,1,1,1,3
842,video bana lenge jail me or black mail karenge aurat admi ko,0,0,0,0,0,0,0
843,Aapke sath jail jayenge,0,0,0,0,0,0,0
844,Abe Tu bar bar sex ke bare me kyun bolti he.... kiya tu bahut bar kiya he kiya maze me,1,0,0,0,0,0,1
845,Medam aap paile kya karogi,0,0,0,0,0,0,0
846,Aap hi Aa jao ham room book kar denge,0,0,0,0,0,0,0
847,Meko bhi jail jana hai kam se kam udhar tho krne ko<br>Milega bina kisi dar ke Bahar Police ki security Rahegi,1,0,0,0,1,0,2
848,Bda experience aw biba tenu porn search da aja fr real ch experience te charam sukh deva,0,1,0,0,0,0,1
849,Bhut jyada maza aaya ga,0,0,0,0,0,0,0
850,AAp ke sath karengee,0,0,0,0,0,0,0
851,Ye porn kya hota h 🤔🤔,0,0,0,0,1,0,1
852,Tu bhi aa ja,0,0,0,0,0,0,0
853,Apka liya kuch bhi,0,0,0,0,0,0,0
854,Axxl sxx in jail,1,0,0,0,0,0,1
855,Jiska sadi nhi hua hai,0,0,0,0,0,0,0
856,Ha abi yehi baki reh gaya India mey,0,0,0,0,0,0,0
857,Muje apni life me aap se sex karna hai,0,0,1,0,0,0,1
858,Haha lol 🤙,0,0,0,0,0,0,0
859,Tum kar lo ,0,0,0,0,0,0,0
860,Kya main Apke sat kar sakte Hun ,0,0,1,0,0,0,1
861,Tu karti hogi sexx in jail search  sab Teri jase nahi,1,0,0,0,1,0,2
862,Police wale bhi ab maje lenge,0,0,0,0,0,0,0
863,Jail,0,0,0,0,0,0,0
864,meto pehle apke sat karungga,0,0,0,0,0,0,0
865,tujhe chod ke jaenge,0,1,0,1,0,0,2
866,Ham sex boleto bura aadmi ho gaye..ladki sex boleto wawa kaya achi baat boli hay..,0,0,0,0,1,0,1
867,Jesy ap ki marzi ho wesy kar len gy,0,0,1,0,0,0,1
868,Iske piche kuch aur he hoga,0,0,0,0,0,0,0
869,"Are ye topic to aya hi ni dimag me, tq for ur suggestion , jara search krne,aage bhi suggestions dete rhiye ga , Gyan dete dete",0,0,0,0,0,0,0
870,Tumse pahle pata hai aur kar bhi chuki,0,0,0,0,0,0,0
871,Man to kar Raha aapko lita ke yahi thok de<br>Bc ye jitna bolti hai utna hi khada hota hai <br>Sala duble ho gya mai ,1,1,0,0,0,0,2
872,tum itni khush kio ho ??,0,0,0,0,0,0,0
873,Teri <b>*****</b> ki ch*<b>****</b>,0,1,0,0,0,0,1
874,aap aao to jel v chle jayge,0,0,0,0,0,0,0
875,Lagta hai ladkiya search nhi krti khaali ladke search nhi krte hain ,0,0,0,0,0,0,0
876,Thank you ma&#39;am thank you aap ke sath sex karte Humko Achcha laga aur aapka Jo Tuta ka bahut set kiya tha,1,0,0,0,0,0,1
877,Mam  karvane ke  exited hai,0,0,1,0,0,0,1
878,Jail Jana Bhi Khon Jata hai par kuch sale kutte hota hai jinki wajha se  Jana padh Tha hai,1,0,0,0,0,0,1
879,Aur ye log search karenge viral se** in jail,1,0,0,0,0,0,1
880,Pehele tujhe pelenge🤣🤣🤣besharam ledki,0,1,0,1,0,1,3
881,Aapke saath karne ka man hai ,0,0,1,0,0,0,1
882,Abe tere ma ke sath kar na sala bhosneke,0,1,0,0,1,0,2
883,Tum tobacco khati ho ya gutka,1,0,0,0,0,0,1
884,me to ap ko karong ga,0,0,0,0,0,0,0
885, abb yea keya suna deya vai <br>ab too jail iane padenga ,0,0,0,0,0,0,0
886,Aapke sat jaunaga,0,0,0,0,0,0,0
887,Mam mujhe iska shauk nhi hai kaam wasna me mera koi khaas interest nhi hai,1,0,0,0,0,0,1
888,Pr tu hamesha sex ki baat kyu krti hai ,0,0,1,0,1,0,2
889,Chale mat jana yar.. jaise ise dukh hoga agar jail chale gaye to ,0,0,0,0,1,0,1
890,Madar chod Indian,0,1,0,0,0,0,1
891,Tujhe dekha kar porn nhi dekha na ka maan karta q ki tujhe dekha mood ki mc,1,0,0,0,0,1,2
892,Fir vo jail nhi haven hai natak hai jail,0,0,0,0,0,0,0
893,Aap chala jau,0,0,0,0,0,0,0
894,Didi app study Karo in sab bato par dhyan mat do ,0,0,0,0,0,0,0
895,Abbb aya na maja..apne gand v dalo video ke andar humvi dakhe,0,1,0,0,0,0,1
896,Àpke sath krna h mujhe to ,0,0,1,0,0,0,1
897,Pagale,0,0,0,0,1,0,1
898,Jail jana padenga ab ,0,0,0,0,0,0,0
899,Ye hona b chahiye aakhir Qaidi kb tk hath se kaam chalayenge,0,0,0,0,1,0,1
900,Mei bolna to Nehi chaha ta par ap ka vdo dekh ne se din kharap jata hei,0,0,0,0,1,1,2
901,Besharm,0,0,0,0,1,0,1
902,Wah didi...kya kamal ka gyan hai bhada hai aapke pass,0,0,0,0,0,0,0
903,Mai to tumhare saath Jana chahta hu,0,0,1,0,0,0,1
904,jail ku Oyo banate bro duniya khatera me ha,0,0,0,0,0,0,0
905,Kalyug BC ghor Kalyug ,0,1,0,0,0,0,1
906,is ladki k dimaag may din bhar sex hi ghumta rehta hai,0,0,1,0,1,0,2
907, chalay mat jana,0,0,0,0,0,0,0
908,Jail me aap milne aao to jail jana bhi manjoor h. ,0,0,0,0,0,0,0
909,ghata gym lagaye ge duniyaa pishe lagaye ge chal bhag lardkii ,0,0,0,0,1,0,1
910,Kyu logo ko barbad karna chati h phle khud to karle sex Gyan mat de,0,1,0,0,1,0,2
911,Aare bc 🤣....aap kitni AwwwwwSome ho yrrrrr,1,0,0,0,0,0,1
912,Apka husband jail me hai kya,0,0,0,0,0,0,0
913,Tere ko ichcha hai To sex karne mein,0,0,0,0,0,0,0
914,Tum sex karwai ho ya nahi,0,0,1,0,1,0,2
915,A Kaisi baat kar rahi hai yah ladki,0,0,0,0,1,0,1
916,Agar apka bf jail me ho to aap sex karne jaogi kya bolo ha ya na,0,0,0,0,0,0,0
917,Jail me kese sex karte h alag se room milta h kya condoms b milte h kya,1,0,0,0,0,0,1
918,Tune keshe jane hane kay ham karetehe shacha<br>,0,0,0,0,0,0,0
919,Ab to jail ban gaya oyo ,0,0,0,0,0,0,0
920,Sex ya jell nehi Bhakti bo bhi bhole Nath ki Jay shree Mahakal,1,0,0,0,0,0,1
921,Tum ugali bhaut krti hogi hina jab itna parti ho tum,0,0,0,0,1,0,1
922,Waha par tum hogi kya,0,0,0,0,0,0,0
923,Me to aapke sath soch raha hu,0,0,1,0,0,0,1
924,Jail chalo,0,0,0,0,0,0,0
925,Tu mere sath karle Teri fad dunga,0,0,1,0,0,0,1
926,Iski maa Ab Jake Dar nikla jail jane ka,0,1,0,0,0,0,1
927,"Me abhi soch raha tha konsa topic search Karu , sex in the jail acha topic hai , thank you",1,0,0,0,0,0,1
928,Chalegi kya khet me ,0,0,1,0,0,0,1
929,Ye bahot pahle se pata hai,0,0,0,0,0,0,0
930,Billi maarunga pahle ,1,0,0,0,1,0,2
931,Hai tere sath,0,0,0,0,0,0,0
932,Sax,1,0,0,0,0,0,1
933,Aap karangimere shat,0,0,1,0,0,0,1
934,Jail fir kis baat ka. Faltu ka decision hai.,0,0,0,0,0,0,0
935,Mujhe to tmhe apna banana h,0,0,1,0,0,0,1
936,Tari da ga kiya,0,0,1,0,0,0,1
937,ha to tu bhi chale jaa unke pass main b tujhe wahi miluga tujai,1,0,0,0,0,0,1
938,Tarkoo chodna taa dagi kayaa kitnaa lagi,0,1,1,0,1,0,3
939,Tamae साथ,0,0,0,0,0,0,0
940,Hahahh mast,0,0,0,0,0,0,0
941,Ab Maja aagaya na bedu,0,0,0,0,0,0,0
942,Tu degi kya,0,0,1,0,1,0,2
943,Tumhare sath jail jana hai,0,0,0,0,0,0,0
944,"Mujhe tumhare sath karna hai,,, Karo gi",0,0,1,0,0,0,1
945,Aapko Boht pata he didi,0,0,1,0,0,0,1
946,Bawli gand,1,0,0,0,1,0,2
947,Ye jo ladki h ye mere pass rehti h,0,0,0,0,0,0,0
948,Aap aajao to jail chale jayenge ,0,0,1,0,0,0,1
949,ab to humari khi bhi offers lagraha hai 🤣,0,0,0,0,0,0,0
950,Aap krogi toh batao,0,0,0,0,0,0,0
951,Pehle shadi karunga fir crime krunga taki taki biwi ki chakchak na sunni pade fir jail me iska fyada uthaunga ,1,1,0,0,0,0,2
952,Ap bole to pahele sex hi karlege,0,0,1,0,0,0,1
953,Tou karay ga maray sat ,0,0,0,0,0,0,0
954,mujhe to tumko us jail me le jana hai,0,0,0,1,1,0,2
955,sex in jail kn search krata hai yar.,0,0,0,0,0,0,0
956,Aap kewal sex ki baate karte ho,0,0,0,0,1,0,1
957,Mujhe to tum chahiye,0,0,0,0,0,0,0
958,AP doge to nhi jayenge,0,0,0,0,0,0,0
959,Chootar,1,0,0,0,0,0,1
960,Yar tujhe koi aur kaam nahi hai jab dekho tab sex masturbation condom,1,0,0,0,1,0,2
961,AAP karogi to chalo ,0,0,0,0,0,0,0
962,Jailor na hua dalaal hua,0,0,0,0,1,0,1
963,do gi,0,0,0,0,0,0,0
964,apse sex karnay ka shock ha,0,0,1,0,0,0,1
965,pata hai baap Ko mat sikha ye wala video pahle hi ek you tub bar ne aplod kiya h uska dekh kar bana rahi h,0,0,0,0,1,0,1
966,Apload nai upload,0,0,0,0,0,0,0
967,Kisne bola ye rule abhi aaya hai salo se toh chalta aa raha hai ab tum puchoge kaise toh ese ki jailer Roz unki gaand maarta hi toh hai alag alag torcher se sazao se,1,0,0,0,1,0,2
968,Single logo ko couple ke videos dekhaye jayenge ,0,0,0,0,0,0,0
969,Tu Jake dek le na Lavdi,0,1,0,0,1,0,2
970,Punjab people be like: yeh koi ra*ndi khana hai ,1,1,0,0,0,0,2
971,Yah kya mc hai ,1,1,0,0,0,0,2
972,Jail jaunga tere sath,0,0,0,0,0,0,0
973,Phala muthi ,1,0,0,0,1,0,2
974,Bhai bacchhe dur rahe aur bade bhi ye jitni asani se bol rhi he utna aasan jhelna nhi hoga ye sab galat kabhi try mat karna porn dekhne ki jindagi kharab ho jayegi  bhajan karo for peace mind,0,0,0,0,0,0,0
975,Chutiya jaise faisla hai chutiya govt <br>Suar ke bacho sudhrenge nahi,1,1,0,0,1,1,4
976,Bharwa lgta Hain ,1,0,0,0,1,0,2
977,Bhg bgnklodi,0,1,0,1,1,0,3
978,tumari.... jai ho....... <br>bhot achhi<br>yaha bkl,0,0,0,0,0,0,0
979,Me  toh punjab se hu maza lunga,0,0,0,0,0,0,0
980,yaar ye ladki jis ko b milega uska to life set hy🤣,0,0,0,0,0,0,0
981,Tum ne sex Kiya hai,0,0,1,0,0,0,1
982,jail karavegi re chori jail karavegi ,0,0,0,0,0,0,0
983,Tum mere sath karogi,0,0,1,0,0,0,1
984,To ab hum log jail Gaye ge ,0,0,0,0,0,0,0
985,Sali kutiya wo porn nahi he wo relation he husband and wife ka,0,1,0,0,1,0,2
986,Hum GYM karenge ,0,0,0,0,0,0,0
987,Mam unse jyada excited to ap lag rahi ho ,0,0,0,0,0,0,0
988,Mam ko jail mey sex pasand hai,0,0,1,0,0,0,1
989,haan jiske pass gf ya wife nahi hogi uske liye isi ko bhejenge,0,0,0,0,1,0,1
990,Kiuki iska boyfriend jail me hey na,0,0,0,0,1,0,1
991,@Aryan Raj <br>To fir mebhi jauga,0,0,0,0,0,0,0
992,Ye bhi jail jayegi ,0,0,0,0,0,0,0
993,Mai toh nhi sochta ho skta mam aap search karti ho<br>O,0,0,0,0,0,0,0
994,Kon kon Punjab se he aur unhe nahi pata tha ,0,0,0,0,0,0,0
995,Behen teri shadi jisse bhi hogi... Pehle usko professor banna hoga sex me ,0,0,0,0,1,0,1
996,Me tere sath Jana chahta hu jail me,0,0,1,0,0,0,1
997,dream one night stand spk shat ,1,0,1,0,0,0,2
998,Tum kab dogi ye bta do bas,1,0,0,0,0,0,1
999,Police ka upar asob chiz me Biswas rake Kon apni bibi ko jail me laiga,1,0,0,0,1,0,2
1000,Ram Rahim be like - 🤌,0,0,0,0,0,0,0
1001,Jiski gf na ho kya usse partner provide krege yeh ,0,0,0,0,1,0,1
1002,Mai to tume se karunga,0,0,1,0,0,0,1
1003,Aap krogi kya ,0,0,1,0,0,0,1
1004,Tum hi AA jo porn dekhna band,0,0,0,0,1,0,1
1005,Teri maa ne kay Sikh hai ,0,0,0,0,0,1,1
1006,Jail Jaunga,0,0,0,0,0,0,0
1007,Punjab me  ab .... American bna diya lgda,0,0,0,0,0,0,0
1008,Karne kato bhut man hai lekin koi milti nai hai. Ek bar to kar na chahiye na.,0,0,1,0,0,0,1
1009,Kya baat hai,0,0,0,0,0,0,0
1010,Mdm aap bhut search krti ho sex in jail jbhi itni knowledge ha.....,0,0,0,0,1,0,1
1011,Jail jaungi,0,0,0,0,0,0,0
1012,Bhan ji regular hilana sa kuchu problem hoya sakte ha kaya,1,0,0,0,0,0,1
1013,Sex in jail ye sab kon dekta he bhai ,1,0,0,0,0,0,1
1014,"Prisoners be like: maje he maje,,  aaja danno..ab har raat gori ki sawari karunga",0,1,0,0,0,0,1
1015,Kuch v bolti h bakchodi,1,1,0,0,0,0,2
1016,"Tu apna kam krna🤣🤣🤣🤣🤣🤣🤣🤣🤣<br>BC,MC tere liye yee sb words bhi km hai",0,1,0,0,0,1,2
1017,Ab to jail hi Jana padega ,0,0,0,0,0,0,0
1018,PADHLE BHAI ,0,0,0,0,0,0,0
1019,Sex karne  ge,1,0,0,0,0,0,1
1020,BARA BA SHARAM HO APP,0,0,0,0,1,0,1
1021,Sex karke jail jaunga aau fir jail baki kasar puri hogi,0,0,1,0,0,1,2
1022,Are yrr sex karne ke liya jail jana pade to koi gaam nhi yrr me to jail jana chahu ga,0,0,1,0,0,0,1
1023,Mujhe to pahle sex karna hai,1,0,1,0,0,0,2
1024,m to tumre sth bnana chhta hu ,0,0,0,0,0,0,0
1025,Jailer Be Like :- Yeh Koi Randi Khana Hai 🤭,0,1,0,0,0,0,1
1026,jail Jana padhega ab ,0,0,0,0,0,1,1
1027,Chaliye... Ap aur me,0,0,0,1,0,0,1
1028,Dedo,0,0,0,0,1,0,1
1029,Pagl aurat,0,0,0,0,1,0,1
1030,"Son n maim aap hamare desh ke sanskriti ko bigad rahi hai khule me abhanjaniya purvak baat kar ke kya pata hm ap ka video mummy ke sath ya bhn ke saath delh rahe hai to aap ko is prakat ka video nahi banana chahiye, please ",1,0,1,0,0,0,2
1031,Didi aaap karoge kya mere sath ,0,0,1,0,0,0,1
1032,Tu bta ready hai 🤣,0,0,1,0,0,0,1
1033,Ab to jail me Jana padga mare jannn,0,0,0,0,0,1,1
1034,Sex,1,0,0,0,0,0,1
1035,Matlab Bhai Bhojan ke sath Chodan free ,0,1,1,0,0,0,2
1036,Jaaogi,0,0,0,0,0,0,0
1037,Bs vaha mms naa bane,1,0,0,0,0,1,2
1038,Chalo jail chale,0,0,0,0,0,0,0
1039,Ap ke liye to seene pe goli khauga<br>Jail kya h <br>Ap sex karvaogi ,1,0,1,0,0,0,2
1040,Tum chahiye ,0,0,0,0,0,0,0
1041,Tu khud porn addicted dikh rahi hai aur sex to natural thing hai time ke saat Sikh hi jata hai phir chahe wo human ho ya animals tere sikha ne se koi nahi sikhta,1,0,0,0,1,1,3
1042,Gandi orat,1,1,0,0,0,0,2
1043,Chale mat Jana yaar ,0,0,0,0,0,0,0
1044,App rediho,0,0,0,0,0,0,0
1045,Nahi Mujhe jail jana na sex karna hai  mujhe sirf tum chaiye ,0,0,1,0,0,0,1
1046,Tont ladki ,0,0,0,0,1,0,1
1047,Tumk chodnege,0,0,0,1,0,0,1
1048,Tu bata pahile,0,0,0,0,0,0,0
1049,mujhe jail jana hee,0,0,0,0,0,0,0
1050,Apne kita bar kia sex,0,0,1,0,0,0,1
1051,Hum Se Jada Apko Chul Machi Hai Sayed ,1,0,0,0,0,0,1
1052,AAP ko Bhi Jail Jana Sahiye ,0,0,0,0,0,0,0
1053,Tum kiyo pareshn ho rahe ho nahi ja rha jail,0,0,0,0,0,0,0
1054,Eh punjab ha punjab,0,0,0,0,0,0,0
1055,Ab jao ge,0,0,0,0,0,0,0
1056,Me tumhare sath jel jaun ga,0,0,0,0,0,0,0
1057,Hmm phle shadi karegy,0,0,0,0,0,0,0
1058,no jaunga to le ke jaunga tumhe,0,0,0,0,0,0,0
1059,Phir unki sex tape bnegi aur internet pr sale hogi,1,0,0,0,0,1,2
1060,Tum partner bano to chala jaaunga,0,0,0,0,0,0,0
1061,jo maza hai wo larki ko feel kar ka sexy karo seduced level ka hota hai banda,0,0,1,0,0,0,1
1062,Wara wa,0,0,0,0,0,0,0
1063,Na sex na jail thug life ,1,0,0,0,0,0,1
1064,punjab nahi PANJAB,0,0,0,0,0,0,0
1065,"Tum hi koi arrange kardo, de do koi dhang ki फिट larki",0,0,1,0,0,1,2
1066,Main tere saath karke jaaunga .  Phir jail ke andar bhi quality sex time tere saath mere mayna ,0,0,1,1,0,0,2
1067,Aap ajao na ap ke sath hi karlete hai baby bhUt maan hau,1,1,1,1,0,0,4
1068,Didi sex se bahut tanaw hai,0,0,1,0,0,0,1
1069,Tum bula lo darling tumhare liye to sbkuchh. Kitni ossum h yarr,0,0,0,0,0,0,0
1070,ma to ap ka sath karo ga,0,0,1,0,0,0,1
1071,Bachkar rahana ka tumhare sath sex kar ke koi Jane Na chala jaaye,0,0,1,1,0,1,3
1072,Jaaneman tum bi hot ho ,0,0,1,0,0,0,1
1073,Jail me bhi bivi. ,0,0,0,0,0,0,0
1074,Jail I&#39;m coming,0,0,0,0,0,0,0
1075,Tuje kab milega ,0,0,0,0,0,0,0
1076,Sex,0,0,0,0,0,0,0
1077,SEX KARO FIR JAO JAIL ,0,0,0,0,0,0,0
1078,Abey guddu ye ka sun rahe h be hum tyari krlo jail ki,0,0,0,0,0,0,0
1079,xxxxx 🤣🤣🤣🤣,0,0,1,0,0,0,1
1080,Tu hi aaja,0,0,0,0,0,0,0
1081,Tum hare shat karengy,1,0,1,1,0,0,3
1082,Tum kyaa karoge pehle,0,0,0,0,0,0,0
1083,Apko lake jail main jayengay ,0,0,0,0,0,0,0
